,location,total_sqft,bath,price,bhk
269,8th Phase JP Nagar,909.0,2.0,40.9,2
270,8th Phase JP Nagar,1431.5,3.0,72.02,3
271,8th Phase JP Nagar,1900.0,4.0,90.0,3
272,8th Phase JP Nagar,500.0,1.0,30.0,1
273,8th Phase JP Nagar,1125.0,2.0,36.94,2
274,8th Phase JP Nagar,1100.0,2.0,35.0,2
275,8th Phase JP Nagar,1089.0,2.0,43.55,2
277,8th Phase JP Nagar,1504.0,2.0,83.0,3
278,8th Phase JP Nagar,2600.0,4.0,115.0,4
280,8th Phase JP Nagar,1089.0,2.0,43.55,2
282,8th Phase JP Nagar,1513.0,2.0,62.0,2
283,8th Phase JP Nagar,1298.0,2.0,59.0,2
284,8th Phase JP Nagar,1006.0,2.0,44.0,2
285,8th Phase JP Nagar,500.0,1.0,33.0,1
286,8th Phase JP Nagar,1160.0,2.0,95.0,2
287,8th Phase JP Nagar,1245.0,2.0,59.0,2
288,8th Phase JP Nagar,1510.0,2.0,80.0,2
289,8th Phase JP Nagar,3300.0,3.0,165.0,3
290,8th Phase JP Nagar,1730.0,5.0,75.0,5
293,8th Phase JP Nagar,1046.0,2.0,48.0,2
295,8th Phase JP Nagar,1408.0,3.0,80.0,3
297,8th block Koramangala,1846.0,3.0,300.0,3
298,8th block Koramangala,1410.0,1.0,233.0,2
299,8th block Koramangala,1165.0,2.0,135.0,2
300,8th block Koramangala,2400.0,3.0,290.0,3
301,9th Block Jayanagar,700.0,1.0,150.0,1
302,9th Block Jayanagar,1440.0,4.0,240.0,4
303,9th Phase JP Nagar,1005.0,2.0,50.0,2
305,9th Phase JP Nagar,1100.0,2.0,65.0,2
306,9th Phase JP Nagar,1080.0,2.0,37.0,2
307,9th Phase JP Nagar,1035.0,2.0,45.0,2
308,9th Phase JP Nagar,5000.0,4.0,290.0,4
309,9th Phase JP Nagar,1164.0,2.0,56.0,2
310,9th Phase JP Nagar,1005.0,2.0,42.0,2
311,9th Phase JP Nagar,1127.0,2.0,50.0,2
312,9th Phase JP Nagar,1005.0,2.0,43.0,2
313,9th Phase JP Nagar,835.0,2.0,37.0,2
314,9th Phase JP Nagar,1050.0,2.0,39.0,2
315,9th Phase JP Nagar,660.0,2.0,27.0,2
316,9th Phase JP Nagar,600.0,1.0,20.0,1
317,9th Phase JP Nagar,1466.0,2.0,71.0,2
318,9th Phase JP Nagar,1890.0,2.0,93.0,3
319,9th Phase JP Nagar,1079.0,2.0,60.0,2
320,9th Phase JP Nagar,1480.0,2.0,80.0,2
321,9th Phase JP Nagar,1200.0,2.0,80.0,2
322,9th Phase JP Nagar,905.0,2.0,32.0,2
323,9th Phase JP Nagar,1073.0,2.0,52.36,2
324,9th Phase JP Nagar,1719.3,2.0,88.0,3
325,9th Phase JP Nagar,1780.0,3.0,88.0,3
327,9th Phase JP Nagar,1522.0,3.0,90.0,3
330,9th Phase JP Nagar,890.0,2.0,45.0,2
332,9th Phase JP Nagar,5000.0,4.0,300.0,4
334,9th Phase JP Nagar,1050.0,2.0,35.0,2
335,9th Phase JP Nagar,1331.95,2.0,69.0,2
336,A Narayanapura,600.0,2.0,35.0,1
337,A Narayanapura,1500.0,2.0,85.0,1
338,AECS Layout,1100.0,2.0,45.0,2
339,AECS Layout,1028.0,2.0,42.0,2
340,AECS Layout,1199.0,2.0,65.0,2
341,AECS Layout,1080.0,2.0,55.0,2
342,AECS Layout,1123.0,2.0,64.0,2
343,AECS Layout,1308.0,2.0,60.0,2
344,AECS Layout,1005.0,2.0,55.0,2
346,AGS Layout,1450.0,2.0,85.0,3
347,AGS Layout,1040.0,2.0,46.79,2
348,AGS Layout,1936.0,3.0,110.0,3
349,AGS Layout,1075.0,2.0,48.38,2
350,AMS Layout,1650.0,2.0,80.0,3
351,AMS Layout,1200.0,4.0,80.0,3
352,Abbaiah Reddy Layout,1310.0,2.0,50.0,3
353,Abbaiah Reddy Layout,1100.0,2.0,38.45,2
354,Abbaiah Reddy Layout,1100.0,2.0,38.49,2
355,Abbaiah Reddy Layout,1190.0,2.0,41.0,2
356,Abbaiah Reddy Layout,1100.0,2.0,38.5,2
357,Abbigere,985.0,2.0,40.39,2
358,Abbigere,2200.0,6.0,68.0,6
359,Abbigere,765.0,2.0,30.0,1
360,Abbigere,880.0,2.0,35.0,2
361,Abbigere,795.0,2.0,32.54,2
362,Abbigere,1005.0,2.0,39.59,2
363,Abbigere,734.0,1.0,19.82,1
365,Abbigere,1020.0,2.0,41.82,2
366,Abbigere,985.0,2.0,40.39,2
367,Abbigere,2500.0,6.0,81.0,6
368,Abbigere,795.0,2.0,32.54,2
369,Abbigere,1130.0,2.0,46.33,2
370,Abbigere,795.0,1.0,32.6,2
371,Abbigere,3000.0,8.0,150.0,8
372,Abbigere,985.0,2.0,38.92,2
373,Abbigere,1000.0,2.0,41.0,2
374,Abbigere,995.0,2.0,40.8,2
375,Abbigere,1020.0,2.0,40.8,2
376,Agrahara Dasarahalli,800.0,1.0,72.0,1
377,Agrahara Dasarahalli,1350.0,1.0,120.0,3
378,Aishwarya Crystal Layout,2250.0,3.0,113.0,3
379,Aishwarya Crystal Layout,1053.0,2.0,51.0,2
380,Akshaya Nagar,1388.0,2.0,57.0,2
381,Akshaya Nagar,1070.0,2.0,54.0,2
382,Akshaya Nagar,1280.0,2.0,58.0,2
383,Akshaya Nagar,1662.0,3.0,85.1,3
384,Akshaya Nagar,1897.0,3.0,120.0,3
385,Akshaya Nagar,1410.0,2.0,75.0,3
386,Akshaya Nagar,1360.0,2.0,85.0,3
388,Akshaya Nagar,1410.0,2.0,80.0,3
389,Akshaya Nagar,1662.0,3.0,85.0,3
390,Akshaya Nagar,1662.0,3.0,85.5,3
391,Akshaya Nagar,1280.0,2.0,60.0,2
392,Akshaya Nagar,1666.0,3.0,95.0,3
393,Akshaya Nagar,1575.0,3.0,90.0,3
394,Akshaya Nagar,1430.0,2.0,75.0,3
395,Akshaya Nagar,1419.0,2.0,73.0,3
396,Akshaya Nagar,1280.0,2.0,60.0,2
397,Akshaya Nagar,1200.0,2.0,50.0,2
398,Akshaya Nagar,1092.0,2.0,60.0,2
399,Akshaya Nagar,1690.0,3.0,85.0,3
401,Akshaya Nagar,1897.0,4.0,93.0,3
402,Akshaya Nagar,1884.0,3.0,98.0,3
403,Akshaya Nagar,1314.0,2.0,68.8,2
404,Akshaya Nagar,1690.0,3.0,85.0,3
405,Akshaya Nagar,1265.0,2.0,67.0,2
406,Akshaya Nagar,1126.0,2.0,55.0,2
408,Akshaya Nagar,1662.0,3.0,90.0,3
409,Akshaya Nagar,1420.0,2.0,75.0,3
410,Akshaya Nagar,1412.0,2.0,88.0,3
411,Akshaya Nagar,1434.0,3.0,84.0,3
412,Akshaya Nagar,1890.0,4.0,100.0,3
414,Akshaya Nagar,1419.0,2.0,87.0,3
415,Akshaya Nagar,1300.0,2.0,54.0,2
416,Akshaya Nagar,1690.0,3.0,85.0,3
417,Akshaya Nagar,1113.0,2.0,52.0,2
418,Akshaya Nagar,1820.0,4.0,95.0,3
419,Akshaya Nagar,1100.0,2.0,48.0,2
420,Akshaya Nagar,1896.0,3.0,102.0,3
421,Akshaya Nagar,1300.0,2.0,66.0,2
422,Akshaya Nagar,1225.0,2.0,68.0,2
423,Akshaya Nagar,1179.0,2.0,51.0,2
424,Akshaya Nagar,1421.0,2.0,73.0,3
425,Akshaya Nagar,1893.0,4.0,95.0,3
426,Akshaya Nagar,900.0,2.0,45.0,2
427,Akshaya Vana,4000.0,4.0,170.0,4
428,Akshaya Vana,1300.0,2.0,49.0,3
429,Akshaya Vana,1280.0,2.0,49.0,3
430,Akshaya Vana,1141.0,2.0,55.0,2
431,Akshaya Vana,1260.0,2.0,49.0,3
432,Akshaya Vana,1427.0,2.0,52.0,2
433,Akshayanagara East,1693.0,3.0,108.0,3
434,Akshayanagara East,1210.0,2.0,76.0,2
435,Akshayanagara East,1519.0,3.0,67.23,3
436,Akshayanagara East,1595.0,3.0,70.39,3
437,Akshayanagara East,1230.0,2.0,50.0,2
438,Akshayanagara East,595.0,1.0,40.0,1
439,Akshayanagara East,1145.0,2.0,44.0,2
440,Akshya Nagar,2400.0,6.0,130.0,6
441,Akshya Nagar,1380.0,2.0,75.0,2
442,Akshya Nagar,1320.0,2.0,58.0,3
443,Alfa Garden Layout,1240.0,2.0,43.79,2
444,Alfa Garden Layout,1050.0,2.0,38.0,2
445,Alfa Garden Layout,1190.0,2.0,46.41,2
446,Alur,530.0,1.0,20.0,1
447,Alur,425.0,1.0,15.0,1
448,Amarjyothi Colony,1355.0,3.0,61.0,3
449,Ambalipura,1105.0,2.0,75.0,2
450,Ambalipura,1800.0,3.0,110.0,3
451,Ambalipura,1150.0,2.0,80.0,2
452,Ambalipura,1250.0,2.0,66.25,2
453,Ambalipura,1332.0,2.0,79.0,2
454,Ambalipura,1730.0,3.0,120.0,3
456,Ambalipura,1230.0,2.0,66.25,2
457,Ambalipura,1351.0,2.0,77.0,2
461,Ambalipura,1303.0,2.0,80.0,2
462,Ambalipura,1607.0,2.0,112.0,3
463,Ambalipura,770.0,1.0,43.82,1
464,Ambalipura,1700.0,2.0,76.0,2
465,Ambalipura,1060.0,2.0,58.5,2
466,Ambalipura,1650.0,3.0,100.0,3
467,Ambalipura,1607.0,2.0,112.0,3
468,Ambalipura,1198.0,2.0,80.0,2
469,Ambedkar Colony,1468.0,2.0,140.0,2
470,Ambedkar Colony,1463.0,1.0,142.0,2
471,Ambedkar Colony,1910.0,3.0,190.0,3
472,Ambedkar Colony,1464.0,2.0,145.0,2
473,Ambedkar Nagar,1935.0,4.0,130.0,3
474,Ambedkar Nagar,1424.0,2.0,90.0,2
475,Ambedkar Nagar,2225.0,4.0,169.0,3
476,Ambedkar Nagar,1862.0,3.0,120.0,3
477,Ambedkar Nagar,1850.0,4.0,139.0,3
478,Ambedkar Nagar,1936.0,4.0,126.0,3
479,Ambedkar Nagar,1862.0,3.0,119.0,3
480,Ambedkar Nagar,1424.0,2.0,90.0,2
481,Ambedkar Nagar,2150.0,4.0,125.0,3
482,Ambedkar Nagar,3530.0,4.0,290.0,4
483,Ambedkar Nagar,1856.0,3.0,120.0,3
484,Ambedkar Nagar,1852.0,3.0,130.0,3
485,Ambedkar Nagar,1850.0,4.0,120.0,3
486,Ambedkar Nagar,1367.0,2.0,86.0,2
487,Ambedkar Nagar,3565.0,4.0,255.0,4
488,Ambedkar Nagar,1409.0,2.0,95.0,2
489,Ambedkar Nagar,1950.0,4.0,120.0,3
490,Ambedkar Nagar,1921.0,4.0,129.0,3
491,Ambedkar Nagar,1920.0,4.0,121.0,3
492,Ambedkar Nagar,1935.0,4.0,125.0,3
493,Ambedkar Nagar,1852.0,4.0,122.0,3
494,Ambedkar Nagar,1950.0,4.0,120.0,3
495,Ambedkar Nagar,1852.0,3.0,125.0,3
496,Ambedkar Nagar,1850.0,4.0,121.0,3
497,Ambedkar Nagar,1425.0,2.0,94.0,2
498,Ambedkar Nagar,2395.0,4.0,150.0,3
499,Amblipura,1605.0,3.0,100.0,3
500,Amblipura,1300.0,2.0,80.0,3
501,Amblipura,1175.0,2.0,83.0,2
502,Amruthahalli,900.0,2.0,40.0,2
503,Amruthahalli,1200.0,2.0,55.0,2
504,Amruthahalli,1900.0,3.0,135.0,3
505,Amruthahalli,924.0,2.0,45.0,2
506,Amruthahalli,900.0,2.0,60.0,2
507,Amruthahalli,1100.0,2.0,45.0,2
508,Amruthahalli,1200.0,2.0,55.0,2
512,Amruthahalli,1450.0,2.0,85.0,3
513,Amruthahalli,1200.0,2.0,55.0,2
514,Amruthahalli,1250.0,2.0,79.0,2
515,Amruthahalli,1190.0,2.0,50.0,2
516,Amruthahalli,1202.0,2.0,65.0,2
517,Amruthahalli,1340.0,2.0,75.0,2
518,Amruthahalli,2650.0,4.0,175.0,3
519,Amruthahalli,1450.0,2.0,90.0,3
520,Amruthahalli,1025.0,2.0,42.0,2
521,Amruthahalli,485.0,1.0,19.5,1
522,Amruthnagar,1350.0,2.0,67.5,2
523,Amruthnagar,1365.0,3.0,60.0,2
524,Amruthnagar,1000.0,2.0,51.0,2
525,Anand Nagar,1060.0,2.0,55.0,2
526,Anand Nagar,1135.0,2.0,55.0,2
527,Anand Nagar,3515.0,3.0,420.0,3
528,Anand Nagar,1080.0,2.0,75.0,3
529,Anand nagar,1200.0,2.0,70.0,2
530,Anand nagar,2010.0,3.0,125.0,3
531,Anandapura,1167.0,2.0,43.76,2
532,Anandapura,1000.0,2.0,55.0,2
533,Anandapura,1141.0,2.0,42.79,2
535,Anandapura,1200.0,2.0,67.0,2
536,Anandapura,1200.0,2.0,58.0,2
537,Anandapura,1151.0,2.0,43.1,2
538,Anandapura,1141.0,2.0,42.75,2
539,Anandapura,900.0,2.0,48.0,2
540,Anandapura,1749.0,4.0,90.0,4
541,Anandapura,1151.0,2.0,42.9,2
543,Anandapura,1250.0,2.0,45.0,2
544,Anandapura,1151.0,2.0,43.16,2
545,Anandapura,1200.0,2.0,58.0,2
546,Anandapura,1200.0,2.0,66.0,3
547,Anandapura,1415.0,2.0,74.0,3
548,Anandapura,1200.0,2.0,50.0,2
549,Anandapura,1141.0,2.0,50.0,2
551,Anantapura,1200.0,2.0,37.0,2
552,Anantapura,1600.0,3.0,77.0,3
553,Ananth Nagar,500.0,1.0,14.0,1
554,Ananth Nagar,1100.0,2.0,31.5,2
555,Ananth Nagar,982.0,2.0,24.55,2
556,Ananth Nagar,500.0,2.0,14.0,1
557,Ananth Nagar,900.0,2.0,22.5,2
558,Ananth Nagar,908.0,2.0,26.0,2
559,Ananth Nagar,870.0,2.0,36.0,2
560,Ananth Nagar,937.0,2.0,35.0,2
561,Ananth Nagar,960.0,2.0,37.0,2
562,Ananth Nagar,500.0,1.0,14.0,1
